kills,deaths,assists,dragonKills,riftHeraldKills,baronKills,win,teamid
35,9,35,0,0,0,1,100
24,6,54,0,0,0,1,100
20,10,28,0,0,0,1,100
22,27,25,0,0,0,0,100
26,28,61,0,0,0,1,100
12,24,17,0,0,0,0,100
13,33,20,0,0,0,0,100
18,12,40,0,0,0,1,100
42,40,76,0,0,0,1,100
22,9,26,0,0,0,1,100
32,21,72,0,0,0,1,100
36,25,53,0,0,0,1,100
26,32,50,0,0,0,0,100
50,48,101,0,0,0,0,100
16,23,36,0,0,0,0,100
35,19,33,0,0,0,1,100
25,29,51,0,0,0,0,100
27,31,35,0,0,0,0,100
27,15,47,0,0,0,1,100
15,26,31,0,0,0,0,100
38,22,49,0,0,0,1,100
29,39,58,0,0,0,0,100
15,26,21,0,0,0,0,100
13,39,22,0,0,0,0,100
15,6,36,0,0,0,1,100
71,71,209,0,0,0,0,100
41,54,113,0,0,0,0,100
23,38,40,0,0,0,0,100
0,0,0,0,0,0,1,100
52,49,126,0,0,0,0,100
28,53,69,0,0,0,0,100
55,68,124,0,0,0,0,100
70,74,142,0,0,0,0,100
42,36,85,0,0,0,0,100
8,22,5,0,0,0,0,100
33,13,48,0,0,0,1,100
26,44,33,0,0,0,0,100
16,35,23,0,0,0,0,100
10,18,16,0,0,0,0,100
22,8,22,0,0,0,1,100
49,54,104,0,0,0,0,100
57,55,101,0,0,0,1,100
16,36,19,0,0,0,0,100
16,25,16,0,0,0,0,100
13,29,24,0,0,0,0,100
46,44,68,0,0,0,1,100
26,5,27,0,0,0,1,100
34,18,35,0,0,0,1,100
48,32,70,0,0,0,1,100
29,38,65,0,0,0,0,100
45,29,69,0,0,0,1,100
31,31,69,0,0,0,1,100
35,13,48,0,0,0,1,100
10,29,13,0,0,0,0,100
26,7,40,0,0,0,1,100
37,21,132,0,0,0,1,100
35,29,80,0,0,0,1,100
16,38,16,0,0,0,0,100
33,26,58,0,0,0,1,100
6,13,6,0,0,0,0,100
35,7,65,0,0,0,1,100
25,20,59,0,0,0,1,100
32,40,80,0,0,0,0,100
52,43,124,0,0,0,0,100
59,44,115,0,0,0,1,100
46,42,98,0,0,0,1,100
54,53,107,0,0,0,1,100
20,30,13,0,0,0,0,100
29,13,41,0,0,0,1,100
19,34,21,0,0,0,0,100
32,13,55,0,0,0,1,100
57,46,149,0,0,0,1,100
61,65,105,0,0,0,1,100
22,34,29,0,0,0,0,100
58,60,148,0,0,0,0,100
44,51,93,0,0,0,0,100
26,41,37,0,0,0,0,100
37,45,102,0,0,0,0,100
39,42,115,0,0,0,0,100
51,80,91,0,0,0,0,100
65,61,163,0,0,0,1,100
30,14,48,0,0,0,1,100
29,23,39,0,0,0,1,100
26,14,25,0,0,0,1,100
27,14,34,0,0,0,1,100
35,22,59,0,0,0,1,100
30,36,57,0,0,0,0,100
24,29,44,0,0,0,1,100
60,73,59,0,0,0,0,100
13,28,22,0,0,0,0,100
41,47,47,0,0,0,1,100
37,51,50,0,0,0,1,100
27,33,52,0,0,0,0,100
33,25,57,0,0,0,1,100
7,23,8,0,0,0,0,100
0,7,0,0,0,0,0,100
13,31,16,0,0,0,0,100
58,56,60,0,0,0,0,100
35,32,90,0,0,0,1,100
19,31,32,0,0,0,0,100
11,28,20,0,0,0,0,100
24,19,37,0,0,0,1,100
32,16,53,0,0,0,1,100
19,7,24,0,0,0,1,100
42,36,76,0,0,0,1,100
37,31,72,0,0,0,1,100
32,19,42,0,0,0,1,100
1,0,0,0,0,0,1,100
24,12,24,0,0,0,1,100
40,40,70,0,0,0,1,100
9,26,13,0,0,0,0,100
34,40,63,0,0,0,0,100
15,34,21,0,0,0,0,100
11,23,18,0,0,0,0,100
18,17,22,0,0,0,0,100
13,28,18,0,0,0,0,100
18,3,27,0,0,0,1,100
28,19,76,0,0,0,1,100
22,9,31,0,0,0,1,100
14,29,17,0,0,0,0,100
21,17,27,0,0,0,1,100
28,11,36,0,0,0,1,100
45,41,85,0,0,0,1,100
28,53,48,0,0,0,0,100
9,27,15,0,0,0,0,100
21,23,28,0,0,0,0,100
17,26,15,0,0,0,0,100
20,28,40,0,0,0,0,100
16,32,24,0,0,0,0,100
7,22,9,0,0,0,0,100
21,33,29,0,0,0,0,100
31,23,68,0,0,0,1,100
32,38,56,0,0,0,0,100
6,18,7,0,0,0,0,100
16,34,27,0,0,0,0,100
24,24,39,0,0,0,0,100
19,7,25,0,0,0,1,100
39,22,47,0,0,0,1,100
12,27,22,0,0,0,0,100
25,6,26,0,0,0,1,100
23,30,30,0,0,0,0,100
22,21,34,0,0,0,1,100
15,10,18,0,0,0,1,100
33,10,33,0,0,0,1,100
22,45,37,0,0,0,0,100
8,20,11,0,0,0,0,100
15,6,32,0,0,0,1,100
19,27,32,0,0,0,0,100
24,3,24,0,0,0,1,100
15,24,27,0,0,0,0,100
18,6,27,0,0,0,1,100
26,37,56,0,0,0,0,100
39,20,45,0,0,0,1,100
16,31,23,0,0,0,0,100
39,31,66,0,0,0,1,100
48,32,78,0,0,0,1,100
34,16,60,0,0,0,1,100
41,36,71,0,0,0,1,100
28,30,46,0,0,0,0,100
20,6,23,0,0,0,1,100
24,15,46,0,0,0,1,100
28,31,52,0,0,0,0,100
17,8,23,0,0,0,1,100
21,24,27,0,0,0,0,100
3,16,3,0,0,0,0,100
13,16,14,0,0,0,0,100
9,20,16,0,0,0,0,100
15,41,22,0,0,0,0,100
3,26,6,0,0,0,0,100
9,22,9,0,0,0,0,100
23,27,33,0,0,0,0,100
30,40,42,0,0,0,0,100
9,19,20,0,0,0,0,100
14,11,21,0,0,0,1,100
9,26,16,0,0,0,0,100
0,2,0,0,0,0,1,100
35,34,76,0,0,0,0,100
26,26,64,0,0,0,1,100
5,16,4,0,0,0,0,100
18,37,19,0,0,0,0,100
19,8,24,0,0,0,1,100
13,18,16,0,0,0,0,100
29,9,53,0,0,0,1,100
33,33,68,0,0,0,0,100
39,22,80,0,0,0,1,100
46,24,80,0,0,0,1,100
7,18,12,0,0,0,0,100
23,33,37,0,0,0,0,100
39,18,48,0,0,0,1,100
41,18,61,0,0,0,1,100
18,28,31,0,0,0,0,100
10,31,15,0,0,0,0,100
24,8,20,0,0,0,1,100
29,20,41,0,0,0,1,100
39,24,52,0,0,0,1,100
13,36,20,0,0,0,0,100
11,23,9,0,0,0,0,100
35,15,62,0,0,0,1,100
24,36,26,0,0,0,0,100
22,33,32,0,0,0,0,100
36,24,54,0,0,0,1,100
36,15,52,0,0,0,1,100
47,26,61,0,0,0,1,100
17,33,26,0,0,0,0,100
10,21,18,0,0,0,0,100
34,22,60,0,0,0,1,100
23,35,32,0,0,0,0,100
35,30,56,0,0,0,1,100
26,23,42,0,0,0,1,100
4,14,6,0,0,0,0,100
25,11,21,0,0,0,1,100
5,13,5,0,0,0,0,100
17,27,39,0,0,0,0,100
26,15,60,0,0,0,1,100
13,20,13,0,0,0,0,100
34,38,63,0,0,0,0,100
15,37,22,0,0,0,0,100
20,8,32,0,0,0,1,100
7,23,9,0,0,0,0,100
30,22,47,0,0,0,1,100
12,29,12,0,0,0,0,100
35,21,45,0,0,0,1,100
21,31,43,0,0,0,0,100
19,10,30,0,0,0,1,100
19,10,45,0,0,0,1,100
37,19,41,0,0,0,1,100
39,28,73,0,0,0,1,100
9,25,5,0,0,0,0,100
12,17,11,0,0,0,0,100
24,27,51,0,0,0,1,100
27,20,44,0,0,0,1,100
8,20,8,0,0,0,0,100
30,24,73,0,0,0,0,100
19,24,31,0,0,0,0,100
15,15,15,0,0,0,1,100
28,14,44,0,0,0,1,100
38,12,60,0,0,0,1,100
25,25,40,0,0,0,0,100
31,25,61,0,0,0,1,100
32,19,68,0,0,0,1,100
10,24,14,0,0,0,0,100
15,4,13,0,0,0,1,100
8,22,9,0,0,0,0,100
15,27,31,0,0,0,0,100
18,4,20,0,0,0,1,100
13,19,16,0,0,0,0,100
27,16,41,0,0,0,1,100
18,22,31,0,0,0,0,100
11,22,15,0,0,0,0,100
15,21,20,0,0,0,0,100
25,13,32,0,0,0,1,100
25,37,54,0,0,0,0,100
18,32,32,0,0,0,0,100
30,13,42,0,0,0,1,100
19,9,34,0,0,0,1,100
28,20,61,0,0,0,1,100
6,13,11,0,0,0,0,100
29,18,59,0,0,0,1,100
43,23,57,0,0,0,1,100
5,29,5,0,0,0,0,100
25,17,52,0,0,0,1,100
28,21,49,0,0,0,1,100
50,24,90,0,0,0,1,100
34,38,76,0,0,0,1,100
25,41,20,0,0,0,0,100
24,23,33,0,0,0,0,100
17,22,27,0,0,0,0,100
32,4,34,0,0,0,1,100
19,29,31,0,0,0,0,100
9,20,10,0,0,0,0,100
29,35,60,0,0,0,0,100
15,20,23,0,0,0,0,100
39,30,53,0,0,0,0,100
21,11,43,0,0,0,1,100
27,13,38,0,0,0,1,100
33,11,40,0,0,0,1,100
33,18,61,0,0,0,1,100
13,20,15,0,0,0,0,100
18,7,27,0,0,0,1,100
5,19,6,0,0,0,0,100
28,12,32,0,0,0,1,100
35,25,68,0,0,0,1,100
12,29,15,0,0,0,0,100
0,15,0,0,0,0,0,100
27,39,34,0,0,0,0,100
12,23,14,0,0,0,0,100
34,14,48,0,0,0,1,100
9,18,11,0,0,0,0,100
9,15,13,0,0,0,0,100
22,7,31,0,0,0,1,100
31,29,59,0,0,0,1,100
9,32,8,0,0,0,0,100
7,24,1,0,0,0,0,100
23,12,29,0,0,0,1,100
15,36,20,0,0,0,0,100
47,27,62,0,0,0,1,100
29,25,44,0,0,0,1,100
35,41,48,0,0,0,0,100
32,28,35,0,0,0,1,100
21,10,30,0,0,0,1,100
32,38,51,0,0,0,1,100
7,25,13,0,0,0,0,100
10,29,8,0,0,0,0,100
23,19,38,0,0,0,1,100
15,29,22,0,0,0,0,100
5,23,5,0,0,0,0,100
13,29,20,0,0,0,0,100
19,34,23,0,0,0,0,100
31,18,42,0,0,0,1,100
19,38,21,0,0,0,0,100
43,29,95,0,0,0,1,100
40,45,113,0,0,0,1,100
26,15,36,0,0,0,1,100
19,19,30,0,0,0,1,100
13,33,20,0,0,0,0,100
31,23,55,0,0,0,1,100
16,5,22,0,0,0,1,100
25,41,32,0,0,0,0,100
33,22,61,0,0,0,1,100
35,24,66,0,0,0,1,100
37,20,37,0,0,0,1,100
40,25,79,0,0,0,1,100
15,36,28,0,0,0,0,100
16,25,29,0,0,0,0,100
24,13,47,0,0,0,1,100
12,21,6,0,0,0,0,100
9,13,9,0,0,0,0,100
26,29,30,0,0,0,0,100
14,21,31,0,0,0,0,100
31,16,69,0,0,0,1,100
10,18,13,0,0,0,0,100
23,32,28,0,0,0,0,100
26,11,50,0,0,0,1,100
18,28,26,0,0,0,0,100
26,38,31,0,0,0,0,100
28,17,60,0,0,0,1,100
15,29,17,0,0,0,0,100
34,22,49,0,0,0,1,100
34,35,52,0,0,0,0,100
23,40,28,0,0,0,0,100
29,31,43,0,0,0,0,100
20,36,23,0,0,0,0,100
16,7,35,0,0,0,1,100
33,16,41,0,0,0,1,100
28,10,35,0,0,0,1,100
29,27,53,0,0,0,1,100
20,3,20,0,0,0,1,100
26,17,41,0,0,0,1,100
28,31,48,0,0,0,1,100
31,18,41,0,0,0,1,100
3,15,4,0,0,0,0,100
36,19,64,0,0,0,1,100
23,14,31,0,0,0,1,100
36,27,44,0,0,0,0,100
11,18,8,0,0,0,0,100
25,5,35,0,0,0,1,100
27,9,43,0,0,0,1,100
19,42,20,0,0,0,0,100
42,21,86,0,0,0,1,100
6,13,14,0,0,0,0,100
22,6,33,0,0,0,1,100
15,28,23,0,0,0,0,100
34,18,60,0,0,0,1,100
38,38,72,0,0,0,1,100
9,26,8,0,0,0,0,100
5,31,12,0,0,0,0,100
46,34,92,0,0,0,1,100
9,16,12,0,0,0,0,100
15,29,14,0,0,0,0,100
21,38,39,0,0,0,0,100
8,21,6,0,0,0,0,100
28,19,33,0,0,0,1,100
25,11,40,0,0,0,1,100
3,13,3,0,0,0,0,100
29,11,29,0,0,0,1,100
28,11,36,0,0,0,1,100
11,34,14,0,0,0,0,100
15,20,22,0,0,0,0,100
8,18,6,0,0,0,0,100
35,30,67,0,0,0,0,100
15,31,23,0,0,0,0,100
17,26,34,0,0,0,0,100
18,9,26,0,0,0,1,100
38,15,40,0,0,0,1,100
35,27,62,0,0,0,1,100
30,35,49,0,0,0,0,100
14,35,18,0,0,0,0,100
36,22,85,0,0,0,1,100
38,19,43,0,0,0,1,100
46,27,63,0,0,0,1,100
45,36,57,0,0,0,1,100
43,37,88,0,0,0,1,100
7,25,5,0,0,0,0,100
15,31,25,0,0,0,0,100
12,29,24,0,0,0,0,100
24,43,37,0,0,0,0,100
36,19,56,0,0,0,1,100
31,38,59,0,0,0,0,100
41,33,53,0,0,0,1,100
35,27,57,0,0,0,1,100
17,5,13,0,0,0,1,100
26,48,40,0,0,0,0,100
36,25,65,0,0,0,1,100
21,8,33,0,0,0,1,100
33,22,69,2,2,2,1,200
34,19,45,2,2,0,1,200
17,24,21,4,2,0,0,200
29,16,50,2,1,1,1,200
28,11,43,3,2,0,1,200
7,14,8,2,1,1,0,200
18,12,19,3,1,1,1,200
7,22,6,2,2,1,0,200
19,1,19,3,2,1,1,200
27,47,44,2,0,1,0,200
22,32,34,4,2,1,0,200
15,25,19,3,2,1,0,200
20,36,32,4,2,2,0,200
35,18,60,2,2,1,1,200
21,21,35,4,2,1,0,200
30,22,56,2,1,1,1,200
28,19,45,2,1,0,1,200
12,31,25,3,1,1,0,200
17,10,29,3,1,1,1,200
29,11,41,4,1,2,1,200
15,29,26,4,1,2,0,200
24,16,41,0,2,0,1,200
19,30,28,3,1,1,0,200
33,39,55,3,1,1,0,200
11,30,12,4,2,2,0,200
23,46,21,4,1,3,0,200
6,17,9,3,2,1,0,200
10,24,15,4,2,3,0,200
24,15,46,2,1,3,1,200
45,14,57,4,2,1,1,200
34,46,47,3,2,0,0,200
24,27,50,3,2,0,0,200
20,16,28,4,2,1,1,200
26,35,52,2,2,1,0,200
10,29,11,4,2,1,0,200
32,19,48,2,1,2,1,200
16,28,17,2,1,1,0,200
16,25,29,3,2,1,0,200
32,46,55,4,2,1,0,200
12,30,18,3,2,1,0,200
18,6,21,2,1,0,1,200
42,25,83,0,0,0,1,200
33,26,72,0,0,0,1,200
21,14,39,0,0,0,1,200
19,23,25,0,0,0,0,200
26,34,29,4,2,2,0,200
18,54,20,2,1,0,0,200
7,31,4,0,0,0,0,200
13,24,19,0,0,0,0,200
22,16,40,0,0,0,1,200
31,17,52,1,0,0,1,200
32,8,34,3,1,1,1,200
27,15,37,0,0,0,1,200
19,46,29,0,0,0,0,200
10,29,10,2,1,1,0,200
34,11,52,3,1,1,1,200
34,39,48,0,0,0,0,200
34,16,51,4,0,1,1,200
21,31,29,4,2,2,0,200
13,29,18,2,1,1,0,200
14,27,13,3,1,1,0,200
37,13,72,4,2,2,1,200
39,23,85,2,2,0,1,200
38,25,80,4,1,1,1,200
31,40,58,4,2,1,0,200
21,12,32,3,1,2,1,200
21,31,41,2,1,1,0,200
18,7,23,3,1,1,1,200
24,29,27,4,2,1,1,200
7,18,7,3,1,1,0,200
21,16,34,4,2,0,1,200
31,11,52,4,1,1,1,200
34,16,44,4,1,2,1,200
31,18,47,3,1,1,1,200
38,26,54,4,1,1,1,200
16,30,28,4,2,1,0,200
20,30,34,4,2,1,0,200
15,22,17,3,1,1,1,200
6,20,7,2,1,0,0,200
22,13,49,4,2,1,1,200
1,0,1,3,1,1,0,200
18,30,29,2,2,1,0,200
31,8,47,3,2,1,1,200
11,25,16,1,2,1,0,200
14,39,14,2,1,1,0,200
35,18,57,4,1,2,1,200
26,18,41,3,1,2,0,200
21,37,37,3,1,1,0,200
7,21,13,4,2,1,0,200
30,19,31,4,0,1,1,200
29,14,43,3,1,2,1,200
10,20,17,3,2,2,0,200
23,16,41,3,1,1,0,200
18,1,25,3,2,1,1,200
28,23,54,3,2,2,1,200
34,37,67,4,2,2,0,200
40,21,90,3,0,1,1,200
31,33,53,1,1,0,0,200
6,29,7,3,2,0,0,200
16,7,15,3,1,0,1,200
2,17,3,4,2,1,0,200
34,35,54,3,1,0,1,200
20,34,29,3,1,0,0,200
32,12,71,4,1,2,1,200
14,27,30,4,1,1,0,200
10,33,16,4,2,3,0,200
30,30,61,3,1,1,1,200
33,45,76,3,1,2,0,200
48,41,80,3,1,0,1,200
36,10,84,2,1,0,1,200
9,22,18,3,1,1,0,200
48,23,75,2,1,1,1,200
3,19,3,2,1,0,0,200
11,28,10,5,2,1,0,200
51,27,82,2,1,0,1,200
5,17,4,2,1,1,0,200
25,36,45,4,1,1,0,200
34,35,71,4,2,1,0,200
31,14,53,2,0,0,1,200
33,20,56,3,1,1,1,200
43,34,81,3,2,2,0,200
39,43,45,3,1,1,0,200
28,11,38,3,1,1,1,200
41,31,69,3,2,0,1,200
37,53,50,3,2,1,0,200
40,20,76,4,1,1,1,200
49,20,90,3,1,1,1,200
35,29,30,2,1,0,1,200
28,23,54,2,2,0,1,200
33,40,60,4,2,2,1,200
20,33,26,3,1,0,0,200
12,27,26,2,1,1,0,200
22,15,28,4,2,1,1,200
27,13,43,4,2,1,1,200
22,8,28,2,1,0,1,200
28,23,49,3,1,1,1,200
15,35,23,3,2,1,0,200
53,52,73,4,1,1,1,200
39,27,65,2,2,1,1,200
36,26,64,3,1,0,1,200
41,29,65,3,2,1,1,200
20,28,23,2,2,2,0,200
16,28,20,3,2,1,0,200
16,37,23,4,2,1,0,200
28,7,33,3,1,1,1,200
21,35,33,2,1,1,0,200
19,33,31,3,1,1,0,200
33,25,52,3,2,1,1,200
22,44,42,3,2,2,0,200
37,15,53,4,2,2,1,200
27,16,27,5,2,1,1,200
16,8,19,3,2,2,1,200
21,29,34,4,2,1,0,200
17,7,27,1,1,1,1,200
17,8,14,4,2,1,1,200
22,5,41,5,2,1,1,200
33,17,58,4,2,2,1,200
25,7,46,4,2,1,1,200
21,8,29,4,2,1,1,200
16,32,20,3,2,1,0,200
17,35,26,3,2,1,0,200
20,15,46,3,2,1,1,200
5,20,7,3,2,1,0,200
30,15,63,3,2,1,1,200
15,3,12,3,1,2,1,200
13,4,32,4,1,1,1,200
14,27,27,3,0,2,0,200
26,38,42,3,1,2,0,200
27,9,52,3,2,1,1,200
19,4,22,4,0,1,1,200
28,13,63,4,1,2,1,200
13,32,22,2,2,1,0,200
27,17,35,4,1,2,1,200
45,29,78,4,2,3,1,200
18,33,23,1,1,1,0,200
41,29,66,2,2,0,1,200
8,25,12,3,2,2,0,200
22,42,36,4,2,2,0,200
2,2,1,3,0,1,0,200
19,32,19,2,2,0,0,200
29,20,63,4,2,2,1,200
2,17,2,3,1,1,0,200
37,24,66,3,1,0,1,200
27,16,41,3,2,0,1,200
12,31,15,4,2,2,0,200
40,12,61,3,1,1,1,200
19,23,35,3,1,1,0,200
35,24,44,3,2,1,1,200
13,21,22,2,2,1,0,200
32,20,63,4,1,1,1,200
18,38,24,2,1,1,0,200
46,38,53,3,2,2,1,200
20,7,27,3,1,1,1,200
9,20,21,3,2,0,0,200
25,22,44,3,2,2,1,200
35,20,65,2,1,1,1,200
32,16,74,4,2,1,1,200
17,29,23,2,1,0,0,200
18,33,49,3,2,2,0,200
9,19,6,3,1,0,0,200
40,48,79,3,1,1,0,200
51,35,140,4,2,1,1,200
22,4,29,3,2,2,1,200
18,40,22,3,1,1,0,200
52,69,123,4,1,1,0,200
32,38,71,3,2,1,0,200
34,38,78,4,1,1,0,200
31,49,69,3,1,1,0,200
37,43,74,3,1,1,0,200
68,61,135,4,2,2,0,200
36,18,99,4,2,2,1,200
29,46,60,2,2,1,0,200
13,17,22,5,1,1,0,200
51,33,135,3,2,1,0,200
38,39,87,1,2,1,1,200
39,44,79,2,1,0,0,200
24,44,55,5,2,1,0,200
62,51,163,3,1,0,1,200
73,51,168,3,1,1,1,200
24,10,53,4,2,2,1,200
34,31,87,3,2,1,0,200
20,14,49,3,2,1,1,200
21,28,61,1,1,1,0,200
29,37,57,0,1,0,0,200
62,78,118,4,2,2,0,200
41,56,115,2,1,0,0,200
45,49,103,3,2,1,1,200
47,39,108,3,2,1,1,200
13,23,26,2,1,1,0,200
38,22,73,3,1,2,1,200
33,13,45,4,2,3,1,200
14,29,18,3,1,1,0,200
16,9,22,4,2,1,1,200
50,40,129,4,2,2,0,200
30,42,63,4,0,1,0,200
39,47,84,3,2,2,0,200
48,48,96,2,1,1,1,200
32,41,85,3,1,1,0,200
35,46,91,3,1,1,0,200
43,37,96,3,2,1,0,200
24,17,61,4,1,1,1,200
44,48,98,4,2,1,0,200
43,34,115,3,1,1,1,200
42,24,130,3,1,1,1,200
65,61,114,2,2,1,1,200
44,26,89,3,1,1,1,200
31,23,90,0,0,0,1,200
16,29,36,3,1,1,0,200
42,55,91,4,1,1,0,200
2,7,0,0,1,0,0,200
41,34,107,4,2,1,1,200
30,43,67,3,1,2,0,200
29,66,47,2,2,0,0,200
39,22,116,4,2,2,1,200
12,22,14,4,1,1,0,200
18,11,24,5,1,1,1,200
34,40,43,3,1,1,0,200
3,5,3,3,2,2,0,200
60,54,175,3,1,1,1,200
38,29,95,3,1,1,1,200
46,58,110,3,2,1,0,200
21,38,59,3,2,1,0,200
45,61,104,3,1,1,0,200
36,46,93,2,1,0,0,200
22,35,54,3,2,1,0,200
38,23,111,4,2,2,1,200
35,49,84,4,2,1,0,200
40,30,115,3,2,1,1,200
45,53,116,4,2,1,1,200
35,26,81,4,2,1,1,200
38,42,87,2,2,2,0,200
55,44,147,4,2,1,1,200
48,58,89,4,1,1,1,200
45,37,116,1,0,0,1,200
23,15,42,2,1,1,1,200
32,25,72,2,1,0,1,200
16,2,22,3,1,1,1,200
52,65,97,5,2,2,0,200
40,37,89,3,1,0,1,200
35,13,47,2,2,1,1,200
41,60,70,0,1,0,0,200
45,37,137,4,1,1,1,200
52,35,118,2,1,1,1,200
18,14,53,4,1,2,1,200
33,33,92,2,2,1,0,200
26,19,66,2,2,1,1,200
32,52,87,2,2,0,0,200
35,21,96,2,2,1,1,200
28,24,39,0,1,0,1,200
46,38,89,2,1,0,1,200
40,54,89,4,2,1,0,200
21,10,20,4,1,1,1,200
30,17,45,2,2,1,1,200
39,35,76,4,2,1,1,200
33,36,49,3,2,1,1,200
32,16,63,3,1,1,1,200
23,11,33,3,1,0,1,200
37,37,90,3,1,2,0,200
41,47,91,2,0,1,0,200
38,48,89,4,1,1,0,200
13,30,22,3,2,1,0,200
20,6,34,4,2,1,1,200
29,14,32,4,1,2,1,200
40,19,49,4,2,2,1,200
39,40,68,3,1,1,1,200
14,25,20,3,2,1,0,200
10,16,17,4,1,1,0,200
19,13,18,2,1,1,1,200
13,8,16,3,2,1,1,200
45,43,74,1,1,0,1,200
9,21,9,3,2,1,0,200
16,5,16,4,1,2,1,200
52,46,129,4,2,0,0,200
29,24,58,3,1,2,0,200
9,22,12,4,2,2,0,200
12,21,19,3,1,1,0,200
38,36,70,3,1,1,1,200
27,19,51,2,1,1,1,200
20,11,43,3,1,1,1,200
10,28,14,2,1,1,0,200
29,31,39,3,1,1,0,200
15,41,16,4,1,0,0,200
20,15,46,4,1,2,1,200
4,26,1,4,2,2,0,200
41,45,67,3,1,2,0,200
37,26,77,0,0,0,1,200
25,40,41,4,1,2,0,200
15,24,23,2,2,1,0,200
27,18,44,3,2,1,0,200
28,30,46,4,1,2,0,200
30,15,50,4,1,1,1,200
18,26,23,2,2,1,0,200
5,21,6,3,0,0,0,200
52,38,87,4,0,1,1,200
19,26,31,3,1,0,0,200
15,35,22,1,0,1,0,200
31,18,75,4,1,1,1,200
18,39,24,4,2,1,0,200
43,26,67,2,2,2,1,200
60,65,110,2,2,1,0,200
38,31,99,3,2,1,1,200
28,20,60,3,2,1,1,200
25,12,38,3,1,1,1,200
16,22,28,3,2,0,0,200
17,8,28,4,2,1,1,200
29,27,64,3,2,1,1,200
29,20,64,4,2,1,1,200
20,39,24,3,1,1,0,200
20,34,33,4,2,1,0,200
26,18,48,3,2,1,1,200
10,31,12,3,1,1,0,200
6,38,7,4,1,1,0,200
25,9,35,4,1,1,1,200
24,18,67,5,2,2,1,200
43,47,53,3,2,1,0,200
21,20,34,3,2,1,1,200
47,37,65,4,1,2,0,200
24,13,48,3,2,2,1,200
59,50,137,1,1,1,0,200
7,27,5,2,2,1,0,200
32,27,61,4,2,1,1,200
37,28,75,3,1,0,1,200
20,35,16,2,2,1,0,200
6,22,16,4,1,1,0,200
36,25,74,2,2,0,1,200
17,3,22,4,1,2,1,200
16,14,25,3,1,2,1,200
31,36,93,2,2,1,0,200
35,13,61,4,1,1,1,200
25,28,45,4,2,2,0,200
9,12,11,3,2,1,0,200
21,31,46,3,1,0,0,200
76,46,80,4,1,2,1,200
70,42,68,3,2,2,1,200
37,15,64,3,2,1,1,200
25,18,52,2,2,1,1,200
35,17,68,2,1,1,1,200
29,37,60,3,1,0,0,200
37,17,41,1,1,1,1,200
21,18,49,5,2,0,1,200
25,9,34,4,2,1,1,200
8,15,11,4,0,1,0,200
28,31,57,3,1,1,0,200
24,21,35,3,1,2,0,200
29,15,47,4,1,2,1,200
39,28,49,3,1,1,1,200
26,6,39,4,2,2,1,200
34,23,66,4,2,1,1,200
14,33,25,2,1,1,0,200
14,34,14,2,2,1,0,200
43,17,49,3,2,1,1,200
18,31,40,3,2,1,0,200
7,23,9,3,1,2,0,200
27,11,51,4,1,1,1,200
38,55,23,2,2,1,0,200
34,20,42,3,2,1,1,200
